,0,1,2,3
0,BoW,500,RFC,0.7156308851224106
1,BoW,500,SVC,0.7095103578154426
2,BoW,1000,RFC,0.7339924670433146
3,BoW,1000,SVC,0.7464689265536724
4,BoW,5000,RFC,0.748352165725047
5,BoW,5000,SVC,0.7690677966101694
6,BoW,10000,RFC,0.754472693032015
7,BoW,10000,SVC,0.7730696798493408
8,BoW_ngrams,500,RFC,0.5127118644067796
9,BoW_ngrams,500,SVC,0.4976459510357815
10,BoW_ngrams,1000,RFC,0.5612052730696798
11,BoW_ngrams,1000,SVC,0.5550847457627118
12,BoW_ngrams,5000,RFC,0.6247645951035782
13,BoW_ngrams,5000,SVC,0.6049905838041432
14,BoW_ngrams,10000,RFC,0.6506591337099812
15,BoW_ngrams,10000,SVC,0.6045197740112994
16,TfIdf,500,RFC,0.7297551789077212
17,TfIdf,500,SVC,0.7563559322033898
18,TfIdf,1000,RFC,0.7379943502824858
19,TfIdf,1000,SVC,0.7937853107344632
20,TfIdf,5000,RFC,0.7523540489642184
21,TfIdf,5000,SVC,0.8015536723163842
22,TfIdf,10000,RFC,0.7464689265536724
23,TfIdf,10000,SVC,0.7829566854990584
24,TfIdf_ngrams,500,RFC,0.5178907721280602
25,TfIdf_ngrams,500,SVC,0.5218926553672316
26,TfIdf_ngrams,1000,RFC,0.5755649717514124
27,TfIdf_ngrams,1000,SVC,0.5765065913370998
28,TfIdf_ngrams,5000,RFC,0.6499529190207156
29,TfIdf_ngrams,5000,SVC,0.644774011299435
30,TfIdf_ngrams,10000,RFC,0.673728813559322
31,TfIdf_ngrams,10000,SVC,0.6518361581920904
